602PT.bam	667PT.bam	M17PT.bam	M20PT.bam	M37PT.bam	M43PT.bam	M49PT.bam	M50PT.bam	M57PT.bam	M60PT.bam	M61PT.bam	M62PT.bam	M69PT.bam	M77PT.bam	M8PT.bam	M97PT.bam	M99PT.bam
ENSG00000006607	1688	4131	2175	2869	1795	2443	1599	1314	1574	2815	1754	1604	1269	4201	1695	1271	2693
ENSG00000006611	1	0	24	0	0	0	1	0	1435	35	2	3	0	664	2	78	3
ENSG00000006625	2227	2237	1910	1370	2630	2068	2975	1795	2339	3231	1026	1524	2577	2075	1233	2316	1343
ENSG00000006634	430	1340	618	916	473	721	905	687	605	723	391	395	1410	1203	308	744	523
ENSG00000006638	422	1169	107	457	153	128	134	80	135	135	69	725	68	425	246	198	212
ENSG00000006652	3028	3833	3087	3838	3096	4049	2805	1947	3121	1685	2888	2007	4375	2846	2969	4033	2088
ENSG00000006659	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	2	2
ENSG00000006695	971	1524	574	1108	621	761	659	787	510	860	554	612	380	1601	729	463	836
ENSG00000006704	2068	1009	3884	1665	2211	2147	1917	4731	3513	2338	2329	856	2607	2181	1753	3800	1424
ENSG00000006712	2688	3879	2227	2166	2328	3408	2279	2125	2281	2335	2124	2309	5859	3218	2488	2165	3918
ENSG00000006715	4030	4284	5888	4676	4201	5269	7387	4925	5042	8860	4103	4282	4925	7007	3126	3192	4397
ENSG00000006740	3191	180	1367	44	1482	98	1230	4777	880	2434	1968	370	559	950	337	119	411
ENSG00000006744	2921	5644	2215	5247	2659	3565	2769	2889	2689	3170	2817	3121	2776	7727	3287	4066	4380
ENSG00000006747	1021	214	840	183	1802	683	1629	1218	440	1367	1470	391	300	231	173	3282	517
ENSG00000006756	2053	1081	1548	754	1461	2705	1413	891	2391	900	1642	1814	1387	1849	963	2077	2382
ENSG00000006757	2540	276	680	494	1018	897	856	575	798	1040	829	718	1022	175	430	858	883
ENSG00000006788	2	312	20	497	8	2	37	3	63	1	33	13	0	267	136	32	2
ENSG00000006831	2367	5672	4806	6055	4620	4615	5175	2298	3627	4277	3632	2975	4233	2655	3203	2532	3908
ENSG00000006837	90	23	46	80	50	60	49	64	53	28	90	39	62	47	27	143	52
ENSG00000007001	6	2	11	4	3	1	9	14	1	1	35	5	4	42	5	8	20
ENSG00000007038	35	128	137	103	0	61	64	185	81	4	5	57	72	195	14	130	24
ENSG00000007047	2033	2575	1976	1281	1493	2492	1447	2289	3086	1915	1233	1744	3677	5537	1865	1655	3263
ENSG00000007062	1	24	75	30	3	2	25	4	277	20	104	125	40	1745	136	15	59
ENSG00000007080	3619	3371	1899	1820	2740	1410	1914	1607	1037	1698	750	2012	3253	1994	1855	1589	2653
ENSG00000007129	194	650	71	264	85	121	77	70	80	87	117	299	10	146	74	425	406
ENSG00000007168	4691	9400	7123	11128	5303	7138	6519	5533	6418	5176	8612	8200	4161	26790	8145	5729	7944
ENSG00000007171	17	246	26	105	23	15	4	12	98	5	41	100	49	43	39	10	30
ENSG00000007174	12	6	35	30	22	18	15	28	15	11	577	32	23	123	18	16	356
ENSG00000007202	2949	14271	9220	12027	5735	10176	5859	4639	12170	11276	8634	4983	10694	4808	7045	3698	8503
ENSG00000007216	0	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0	0
ENSG00000007237	1748	9051	5910	1174	2096	5003	6268	2059	6196	3062	5447	3836	1413	4074	4030	2635	2826
ENSG00000007255	903	314	747	119	708	428	618	502	660	1160	300	447	819	272	418	672	649
ENSG00000007264	526	564	272	251	1176	739	1363	756	319	536	208	391	149	216	206	996	765
ENSG00000007306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007312	229	795	64	70	8	220	100	75	110	33	99	516	234	62	301	362	331
ENSG00000007314	56	20	34	11	7	20	7	21	15	25	47	8	18	26	3820	39	43
ENSG00000007341	1741	666	921	646	1137	994	812	567	414	699	1121	547	929	688	367	1086	700
ENSG00000007350	1	4576	1	1	0	3	2	0	4	3	3	194	5	4031	30	75	9
ENSG00000007372	137	62	615	1003	133	352	178	79	162	65	226	70	1138	536	95	172	1207
ENSG00000007376	1322	1657	816	2030	1321	1307	1081	1577	889	1300	473	944	586	916	600	2399	1303
ENSG00000007384	1402	1860	2757	2931	4477	3176	2405	4122	1949	3702	2071	2629	352	2547	2634	7221	3723
ENSG00000007392	4988	3128	6565	5621	5787	2991	5616	5179	3912	5403	6531	5557	4682	2735	3998	23303	3885
ENSG00000007402	219	83	249	72	204	62	189	169	211	71	277	129	388	201	125	279	524
ENSG00000007516	39	65	28	46	77	44	28	106	30	66	29	35	55	243	44	278	162
ENSG00000007520	1632	2184	1876	2209	1623	1945	979	1590	773	1571	560	1657	512	1008	1348	1727	2091
ENSG00000007541	2831	1888	1958	2060	3473	2523	1783	3998	1075	1864	1740	2012	1533	1493	1602	7173	3413
ENSG00000007545	975	994	1144	1160	1475	899	1147	1539	666	955	905	964	768	1107	893	2845	1074
ENSG00000007866	1656	1410	2713	3251	2086	1140	862	3105	1685	1730	1545	2660	1173	5118	1669	1879	2139
ENSG00000007908	65	771	133	109	20	143	218	179	365	217	201	655	13	31	3299	687	233
ENSG00000007923	2489	2634	1718	3023	2017	2789	1945	1447	1263	3281	1761	1074	3191	2762	1444	1770	2526
ENSG00000007933	80	38	82	539	56	89	341	34	34	160	67	2062	16	74	353	165	985
ENSG00000007944	2431	1748	2375	1368	2773	2707	1362	1165	1114	2068	1434	1630	1122	3196	2083	1359	3786
ENSG00000007952	193	19	24	46	36	28	23	21	119	256	77	22	50	21	19	257	18
ENSG00000007968	175	1234	318	347	341	745	423	145	365	779	202	230	731	794	93	224	516
ENSG00000008018	6998	8615	6425	7931	4082	10252	5404	3922	5750	10044	5044	5826	3290	5930	4700	7288	11235
ENSG00000008056	720	766	393	47	443	178	192	226	234	65	428	161	273	355	126	438	68
ENSG00000008083	1444	4483	852	2476	1251	1046	740	698	1656	761	1002	984	1728	2197	1161	1316	1871
ENSG00000008086	125	365	536	464	180	142	76	168	176	270	191	256	151	460	160	29	204
ENSG00000008118	2	51	53	18	12	14	72	31	44	33	63	44	5	7	9	11	24
ENSG00000008128	188	137	126	127	157	97	25	107	104	158	95	156	243	230	98	384	146
ENSG00000008130	5072	8191	4417	3828	4328	6651	3336	2696	3175	5106	2111	4028	6119	5941	3189	6309	8137
ENSG00000008196	0	0	2	0	0	0	0	0	0	0	8	0	1	0	3	0	24
ENSG00000008197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000008226	1062	40	197	97	1703	37	229	975	77	268	121	205	96	97	72	242	690
ENSG00000008256	4113	2978	11282	1267	7670	4584	4006	9271	3029	8517	3497	5667	2323	6020	3731	3536	6918
ENSG00000008277	403	249	2341	44	300	129	258	370	1087	76	796	720	1260	313	637	233	304
ENSG00000008282	5826	4395	4061	6415	5920	6196	8119	4514	3442	5013	2855	3246	5561	4772	3811	4502	3961
ENSG00000008283	4739	2854	3713	1598	8964	3703	2511	2890	1282	5150	2489	3130	1186	893	2448	4291	3962
ENSG00000008294	12232	10976	15955	10475	12064	12915	6981	8544	10979	29167	10437	10768	9890	8820	10186	6148	13812
ENSG00000008300	242	1439	227	401	2249	1205	956	473	197	598	94	137	656	346	166	1095	304
ENSG00000008311	1087	1105	1573	3152	2378	811	2257	2965	1682	448	1702	2020	2457	2356	1473	5753	1015
ENSG00000008323	20	16	137	171	42	34	176	18	30	86	56	13	256	53	96	46	20
ENSG00000008324	377	1049	630	764	539	509	533	497	358	343	409	537	479	287	480	1035	782
ENSG00000008382	558	927	309	283	371	271	367	292	319	624	173	317	196	247	271	442	534
ENSG00000008394	4877	448	104	10276	2471	8204	3467	116	1897	10862	301	325	577	52	1190	214	473
ENSG00000008405	2170	1778	2567	1714	2114	1192	2693	1211	2183	1620	1742	1360	1482	2260	1916	861	1322
ENSG00000008438	4	1	1	10	4	3	8	5	2	8	6	1	12	10	6	9	4
ENSG00000008441	27584	2700	18104	4065	22326	9269	8836	15420	3672	9393	12020	10479	12420	24274	16588	3558	16785
ENSG00000008513	14302	10365	4560	5633	7972	19926	9444	7302	8728	14867	4156	3234	7150	3388	2670	7524	4023
ENSG00000008516	79	676	35	158	42	136	47	61	25	39	48	120	21	72	96	671	416
ENSG00000008517	1940	30766	2763	7987	886	4441	1747	1417	2572	979	1513	9520	320	2032	12849	21792	27691
ENSG00000008710	12061	6345	7261	7391	9573	9323	8173	6295	4699	7506	6937	10192	6004	10214	10998	21756	7104
ENSG00000008735	1197	374	552	13	376	358	559	174	897	1713	287	44	643	42	39	624	95
ENSG00000008838	3150	6518	3184	5706	3996	3425	2490	2832	4582	3677	2948	2895	5970	3571	3978	3779	5060
ENSG00000008853	1090	2422	1660	669	829	1114	1554	875	7542	670	1278	1084	1541	960	1180	1087	1488
ENSG00000008869	3131	3036	2843	3226	2803	2965	2229	2241	2502	4266	3015	2490	3060	4190	2173	2483	3809
ENSG00000008952	9446	12031	8908	7580	11214	11286	8409	7328	7851	9721	8858	6833	6653	5361	6066	4222	10784
ENSG00000008988	53583	17841	22271	13480	36634	22447	46346	18604	31907	36100	18920	25277	17410	14242	17350	25724	24171
